"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
3.76,90,91,1.53102127689708
3.76,90,92,1.53280406083238
3.76,90,93,1.53480117447973
3.76,90,94,1.53701235715629
3.76,90,95,1.53943717947468
3.76,90,96,1.54207503944962
3.76,90,97,1.54492515843081
3.76,90,98,1.54798657685443
3.76,90,99,1.55125814980417
3.76,90,100,1.55473854237221
3.76,90,101,1.55842622481124
3.76,90,102,1.56231946747004
3.76,90,103,1.56641633550794
3.76,90,104,1.57071468338747
3.76,90,105,1.57521214914916
3.76,90,106,1.57990614847872
3.76,90,107,1.58479386858375
3.76,90,108,1.58987226190498
3.76,90,109,1.59513803969584
3.76,90,110,1.60058766551339
3.76,90,111,1.60621734867363
3.76,90,112,1.6120230377338
3.76,90,113,1.61800041407492
3.76,90,114,1.62414488566726
3.76,90,115,1.63045158111107
3.76,90,116,1.63691534405356
3.76,90,117,1.64353072809094
3.76,90,118,1.65029199227075
3.76,90,119,1.657193097315
3.76,90,120,1.66422770268772
3.76,90,121,1.67138916463233
3.76,90,122,1.67867053530323
3.76,90,123,1.68606456311356
3.76,90,124,1.69356369441545
3.76,90,125,1.70116007662193
3.76,90,126,1.70884556286916
3.76,90,127,1.71661171830583
3.76,90,128,1.72444982808136
3.76,90,129,1.73235090708839
3.76,90,130,1.74030571149602
3.76,90,131,1.74830475209013
3.76,90,132,1.7563383094159
3.76,90,133,1.76439645069455
3.76,90,134,1.77246904846404
3.76,90,135,1.78054580086976
3.76,90,136,1.78861625350877
3.76,90,137,1.7966698227089
3.76,90,138,1.80469582010337
3.76,90,139,1.81268347834224
3.76,90,140,1.820621977765
3.76,90,141,1.82850047384384
3.76,90,142,1.83630812519508
3.76,90,143,1.8440341219475
3.76,90,144,1.85166771425023
3.76,90,145,1.85919824070077
3.76,90,146,1.86661515647431
3.76,90,147,1.87390806094021
3.76,90,148,1.88106672455885
3.76,90,149,1.88808111486291
3.76,90,150,1.89494142134084
3.76,90,151,1.90163807905627
3.76,90,152,1.90816179085586
3.76,90,153,1.9145035480382
3.76,90,154,1.92065464937815
3.76,90,155,1.92660671842394
3.76,90,156,1.93235171900726
3.76,90,157,1.93788196893051
3.76,90,158,1.9431901518178
3.76,90,159,1.94826932713915
3.76,90,160,1.95311293843829
3.76,90,161,1.95771481981412
3.76,90,162,1.96206920072431
3.76,90,163,1.96617070919526
3.76,90,164,1.97001437353699
3.76,90,165,1.97359562267302
3.76,90,166,1.97691028520512
3.76,90,167,1.97995458733996
3.76,90,168,1.98272514980955
3.76,90,169,1.98521898392061
3.76,90,170,1.98743348686834
3.76,90,171,1.9893664364495
3.76,90,172,1.99101598530632
3.76,90,173,1.99238065482898
3.76,90,174,1.993459328838
3.76,90,175,1.99425124716125
3.76,90,176,1.99475599921197
3.76,90,177,1.99497351766526
3.76,90,178,1.99490407232047
3.76,90,179,1.99454826422668
3.76,90,180,1.99390702013719
